Time,Open,High,Low,Last,Change,%Chg,Volume
"2023-06-07 19:10",14331.5,14333.75,14331.5,14333,1.5,+0.01%,350
"2023-06-07 19:11",14332.5,14332.5,14331.5,14331.5,-1.5,-0.01%,55
"2023-06-07 19:12",14331.75,14331.75,14330,14331,-0.5,0.00%,52
"2023-06-07 19:13",14331.5,14334.25,14331,14333.75,2.75,+0.02%,128
"2023-06-07 19:14",14333.75,14333.75,14331,14331.25,-2.5,-0.02%,66
"2023-06-07 19:15",14331.25,14333.5,14330.5,14331,-0.25,0.00%,131
"2023-06-07 19:16",14330.5,14331,14328.75,14329.5,-1.5,-0.01%,152
"2023-06-07 19:17",14329,14329,14327.75,14328.75,-0.75,-0.01%,88
"2023-06-07 19:18",14328.5,14334,14328.25,14332.75,4,+0.03%,124
"2023-06-07 19:19",14332.75,14332.75,14331.5,14332.25,-0.5,0.00%,48
"2023-06-07 19:20",14332.75,14332.75,14330.75,14331.25,-1.,-0.01%,30
"2023-06-07 19:21",14331.5,14331.75,14330,14330.75,-0.5,0.00%,75
"2023-06-07 19:22",14331,14333.5,14331,14333,2.25,+0.02%,98
"2023-06-07 19:23",14333,14334.5,14333,14334,1,+0.01%,70
"2023-06-07 19:24",14333.75,14334,14331.25,14331.25,-2.75,-0.02%,77
"2023-06-07 19:25",14331,14333,14329.75,14332.5,1.25,+0.01%,164
"2023-06-07 19:26",14332.5,14333.75,14332.5,14333.25,0.75,+0.01%,50
"2023-06-07 19:27",14333.25,14333.5,14332.75,14333.25,0,0.00%,41
"2023-06-07 19:28",14333,14333.25,14331.5,14332,-1.25,-0.01%,65
"2023-06-07 19:29",14332.75,14332.75,14330.75,14330.75,-1.25,-0.01%,38
"2023-06-07 19:30",14331.25,14335.75,14331.25,14335.5,4.75,+0.03%,230
"2023-06-07 19:31",14335.25,14337.25,14334.75,14336.75,1.25,+0.01%,224
"2023-06-07 19:32",14337,14337,14334.5,14335.5,-1.25,-0.01%,92
"2023-06-07 19:33",14335.25,14336.5,14335,14336.5,1,+0.01%,82
"2023-06-07 19:34",14336.25,14337,14335.5,14337,0.5,0.00%,142
"2023-06-07 19:35",14337,14337,14334,14335,-2.,-0.01%,212
"2023-06-07 19:36",14335.5,14335.5,14334,14334.25,-0.75,-0.01%,45
"2023-06-07 19:37",14334.5,14334.5,14332,14334,-0.25,0.00%,184
"2023-06-07 19:38",14333.75,14334.5,14333.25,14333.25,-0.75,-0.01%,50
"2023-06-07 19:39",14333.25,14333.25,14332.5,14333,-0.25,0.00%,33
"2023-06-07 19:40",14333.5,14335.25,14333.25,14335,2,+0.01%,73
"2023-06-07 19:41",14335.5,14336,14333.5,14334,-1.,-0.01%,91
"2023-06-07 19:42",14333.75,14334,14333.25,14333.75,-0.25,0.00%,68
"2023-06-07 19:43",14333.5,14333.5,14331.75,14332,-1.75,-0.01%,113
"2023-06-07 19:44",14331.75,14332.25,14331,14332,0,0.00%,129
"2023-06-07 19:45",14331.75,14333.5,14331.25,14333,1,+0.01%,147
"2023-06-07 19:46",14332.75,14333,14332.25,14333,0,0.00%,40
"2023-06-07 19:47",14332.75,14334,14332.25,14333.75,0.75,+0.01%,97
"2023-06-07 19:48",14333.25,14334.25,14332.75,14334,0.25,0.00%,35
"2023-06-07 19:49",14334.25,14334.25,14331.75,14331.75,-2.25,-0.02%,92
"2023-06-07 19:50",14331.75,14331.75,14329.75,14331,-0.75,-0.01%,211
"2023-06-07 19:51",14331.25,14333,14329.25,14332.75,1.75,+0.01%,355
"2023-06-07 19:52",14332.5,14332.75,14330.25,14332,-0.75,-0.01%,114
"2023-06-07 19:53",14331.25,14332.75,14330.5,14332.75,0.75,+0.01%,45
"2023-06-07 19:54",14333,14333.5,14332,14332.25,-0.5,0.00%,261
"2023-06-07 19:55",14332.25,14335,14332.25,14335,2.75,+0.02%,231
"2023-06-07 19:56",14335,14335.75,14333.5,14335,0,0.00%,144
